name	type	tags
exchangeability	tag	exchangeability
expectation-maximization	tag	expectation-maximization
expected-value	tag	expected-value
experiment-design	tag	experiment-design
explanatory-models	tag	explanatory-models
exponential	tag	exponential
exponential-distribution	tag	exponential-distribution
exponential-family	tag	exponential-family
exponential-smoothing	tag	exponential-smoothing
extrapolation	tag	extrapolation
extreme-value	tag	extreme-value
f-distribution	tag	f-distribution
f-statistic	tag	f-statistic
f-test	tag	f-test
factor-analysis	tag	factor-analysis
factor-rotation	tag	factor-rotation
fallacy	tag	fallacy
false-discovery-rate	tag	false-discovery-rate
false-positive-rate	tag	false-positive-rate
familywise-error	tag	familywise-error
fat-tails	tag	fat-tails
feature-engineering	tag	feature-engineering
feature-selection	tag	feature-selection
fiducial	tag	fiducial
finance	tag	finance
finite-mixture-model	tag	finite-mixture-model
finite-population	tag	finite-population
fisher-information	tag	fisher-information
fisher-scoring	tag	fisher-scoring
fishers-exact	tag	fishers-exact
fishers-lsd	tag	fishers-lsd
fitting	tag	fitting
fixed-effects-model	tag	fixed-effects-model
forecast-combination	tag	forecast-combination
forecastability	tag	forecastability
forecasting	tag	forecasting
forward-backward	tag	forward-backward
fourier-transform	tag	fourier-transform
fraud	tag	fraud
frequency	tag	frequency
frequentist	tag	frequentist
function	tag	function
functional-data-analysis	tag	functional-data-analysis
fused-lasso	tag	fused-lasso
fuzzy	tag	fuzzy
gam	tag	gam
game-theory	tag	game-theory
games	tag	games
gamlss	tag	gamlss
gamma-distribution	tag	gamma-distribution
gan	tag	gan
garch	tag	garch
gaussian-mixture	tag	gaussian-mixture
gaussian-process	tag	gaussian-process
gbm	tag	gbm
gee	tag	gee
generalized-least-squares	tag	generalized-least-squares
generalized-linear-model	tag	generalized-linear-model
generalized-moments	tag	generalized-moments
generative-models	tag	generative-models
genetic-algorithms	tag	genetic-algorithms
genetics	tag	genetics
geometric-distribution	tag	geometric-distribution
geometric-mean	tag	geometric-mean
geometry	tag	geometry
geostatistics	tag	geostatistics
ggplot2	tag	ggplot2
gibbs	tag	gibbs
gini	tag	gini
gis	tag	gis
glmm	tag	glmm
glmnet	tag	glmnet
goodman-kruskal-gamma	tag	goodman-kruskal-gamma
goodness-of-fit	tag	goodness-of-fit
gradient	tag	gradient
gradient-descent	tag	gradient-descent
granger-causality	tag	granger-causality
graph-theory	tag	graph-theory
graphical-model	tag	graphical-model
group-differences	tag	group-differences
growth-model	tag	growth-model
gru	tag	gru
gumbel	tag	gumbel
gwas	tag	gwas
hazard	tag	hazard
heatmap	tag	heatmap
heavy-tailed	tag	heavy-tailed
heckman	tag	heckman
hellinger	tag	hellinger
hessian	tag	hessian
heteroscedasticity	tag	heteroscedasticity
hidden-markov-model	tag	hidden-markov-model
hierarchical-bayesian	tag	hierarchical-bayesian
hierarchical-clustering	tag	hierarchical-clustering
high-dimensional	tag	high-dimensional
highest-density-region	tag	highest-density-region
histogram	tag	histogram
history	tag	history
hmc	tag	hmc
hosmer-lemeshow-test	tag	hosmer-lemeshow-test
humor	tag	humor
hyperparameter	tag	hyperparameter
hypothesis-testing	tag	hypothesis-testing
ica	tag	ica
identifiability	tag	identifiability
iid	tag	iid
image-processing	tag	image-processing
importance	tag	importance
importance-sampling	tag	importance-sampling
improper-prior	tag	improper-prior
incidence-rate-ratio	tag	incidence-rate-ratio
independence	tag	independence
inference	tag	inference
information-geometry	tag	information-geometry
information-retrieval	tag	information-retrieval
information-theory	tag	information-theory
instrumental-variables	tag	instrumental-variables
integral	tag	integral
interaction	tag	interaction
interactive-visualization	tag	interactive-visualization
interarrival-time	tag	interarrival-time
intercept	tag	intercept
intermittent-time-series	tag	intermittent-time-series
interpolation	tag	interpolation
interpretation	tag	interpretation
interquartile	tag	interquartile
interval-censoring	tag	interval-censoring
intraclass-correlation	tag	intraclass-correlation
intuition	tag	intuition
invariance	tag	invariance
inverse-cdf	tag	inverse-cdf
inverse-gaussian-distrib	tag	inverse-gaussian-distrib
irls	tag	irls
irt	tag	irt
jackknife	tag	jackknife
jacobian	tag	jacobian
jags	tag	jags
java	tag	java
jeffreys-prior	tag	jeffreys-prior
jmp	tag	jmp
joint-distribution	tag	joint-distribution
journals	tag	journals
julia	tag	julia
k-means	tag	k-means
k-nearest-neighbour	tag	k-nearest-neighbour
kaggle	tag	kaggle
kalman-filter	tag	kalman-filter
kaplan-meier	tag	kaplan-meier
kendall-tau	tag	kendall-tau
keras	tag	keras
kernel-smoothing	tag	kernel-smoothing
kernel-trick	tag	kernel-trick
kolmogorov-axioms	tag	kolmogorov-axioms
kolmogorov-smirnov	tag	kolmogorov-smirnov
kpss-test	tag	kpss-test
kriging	tag	kriging
kruskal-wallis	tag	kruskal-wallis
kullback-leibler	tag	kullback-leibler
kurtosis	tag	kurtosis
l-moments	tag	l-moments
lagrange-multipliers	tag	lagrange-multipliers
lags	tag	lags
language-models	tag	language-models
laplace-distribution	tag	laplace-distribution
laplace-smoothing	tag	laplace-smoothing
large-data	tag	large-data
lars	tag	lars
lasso	tag	lasso
latent-class	tag	latent-class
latent-dirichlet-alloc	tag	latent-dirichlet-alloc
latent-variable	tag	latent-variable
law-of-large-numbers	tag	law-of-large-numbers
least-absolute-deviations	tag	least-absolute-deviations
least-squares	tag	least-squares
leverage	tag	leverage
libsvm	tag	libsvm
likelihood	tag	likelihood
likelihood-principle	tag	likelihood-principle
likelihood-ratio	tag	likelihood-ratio
likert	tag	likert
lime	tag	lime
linear	tag	linear
linear-algebra	tag	linear-algebra
linear-model	tag	linear-model
linearity	tag	linearity
link-function	tag	link-function
lm	tag	lm
lme4-nlme	tag	lme4-nlme
loess	tag	loess
log-likelihood	tag	log-likelihood
log-linear	tag	log-linear
log-loss	tag	log-loss
logarithm	tag	logarithm
logistic	tag	logistic
logistic-curve	tag	logistic-curve
logistic-distribution	tag	logistic-distribution
logit	tag	logit
lognormal	tag	lognormal
loss-functions	tag	loss-functions
lsa	tag	lsa
lsmeans	tag	lsmeans
lstm	tag	lstm
machine-learning	tag	machine-learning
mad	tag	mad
mae	tag	mae
manifold-learning	tag	manifold-learning
manipulation-detection	tag	manipulation-detection
manova	tag	manova
many-categories	tag	many-categories
mape	tag	mape
marginal	tag	marginal
marketing	tag	marketing
markov-process	tag	markov-process
markov-random-field	tag	markov-random-field
mars	tag	mars
martingale	tag	martingale
mase	tag	mase
matching	tag	matching
mathematica	tag	mathematica
mathematical-statistics	tag	mathematical-statistics
matlab	tag	matlab
matplotlib	tag	matplotlib
matrix	tag	matrix
matrix-calculus	tag	matrix-calculus
matrix-decomposition	tag	matrix-decomposition
matrix-inverse	tag	matrix-inverse
max-margin	tag	max-margin
maximum	tag	maximum
maximum-entropy	tag	maximum-entropy
maximum-likelihood	tag	maximum-likelihood
mcmc	tag	mcmc
mcnemar-test	tag	mcnemar-test
mean	tag	mean
measure-theory	tag	measure-theory
measurement	tag	measurement
measurement-error	tag	measurement-error
median	tag	median
mediation	tag	mediation
medicine	tag	medicine
meta-analysis	tag	meta-analysis
meta-regression	tag	meta-regression
method-of-moments	tag	method-of-moments
methodology	tag	methodology
metric	tag	metric
metropolis-hastings	tag	metropolis-hastings
mgcv	tag	mgcv
mgf	tag	mgf
microarray	tag	microarray
minimum	tag	minimum
missing-data	tag	missing-data
misspecification	tag	misspecification
mixed-model	tag	mixed-model
mixed-type-data	tag	mixed-type-data
mixture	tag	mixture
mode	tag	mode
model	tag	model
model-averaging	tag	model-averaging
model-comparison	tag	model-comparison
model-evaluation	tag	model-evaluation
model-selection	tag	model-selection
modeling	tag	modeling
modularity	tag	modularity
moments	tag	moments
monte-carlo	tag	monte-carlo
moving-average	tag	moving-average
mse	tag	mse
multi-class	tag	multi-class
multiarmed-bandit	tag	multiarmed-bandit
multicollinearity	tag	multicollinearity
multicore	tag	multicore
multidimensional-scaling	tag	multidimensional-scaling
multilabel	tag	multilabel
multilevel-analysis	tag	multilevel-analysis
multinomial	tag	multinomial
multiple-comparisons	tag	multiple-comparisons
multiple-imputation	tag	multiple-imputation
multiple-regression	tag	multiple-regression
multiple-seasonalities	tag	multiple-seasonalities
multivariable	tag	multivariable
multivariate-analysis	tag	multivariate-analysis
multivariate-distribution	tag	multivariate-distribution
multivariate-normal	tag	multivariate-normal
multivariate-regression	tag	multivariate-regression
mutual-information	tag	mutual-information
naive-bayes	tag	naive-bayes
natural-language	tag	natural-language
negative-binomial	tag	negative-binomial
nested-data	tag	nested-data
nested-models	tag	nested-models
networks	tag	networks
neural-networks	tag	neural-networks
neuroimaging	tag	neuroimaging
neuroscience	tag	neuroscience
nls	tag	nls
nnet	tag	nnet
nnmf	tag	nnmf
noise	tag	noise
non-independent	tag	non-independent
nonlinear	tag	nonlinear
nonlinear-regression	tag	nonlinear-regression
nonparametric	tag	nonparametric
nonparametric-bayes	tag	nonparametric-bayes
normal-approximation	tag	normal-approximation
normal-distribution	tag	normal-distribution
normality-assumption	tag	normality-assumption
normalization	tag	normalization
notation	tag	notation
novelty-detection	tag	novelty-detection
nps	tag	nps
numerical-integration	tag	numerical-integration
numerics	tag	numerics
object-detection	tag	object-detection
observational-study	tag	observational-study
odds	tag	odds
odds-ratio	tag	odds-ratio
offset	tag	offset
omitted-variable-bias	tag	omitted-variable-bias
online	tag	online
open-source	tag	open-source
optimal-stopping	tag	optimal-stopping
optimization	tag	optimization
optunity	tag	optunity
oracle	tag	oracle
order-statistics	tag	order-statistics
ordered-logit	tag	ordered-logit
ordinal-data	tag	ordinal-data
out-of-sample	tag	out-of-sample
outliers	tag	outliers
overdispersion	tag	overdispersion
overfitting	tag	overfitting
oversampling	tag	oversampling
p-value	tag	p-value
pac-learning	tag	pac-learning
paired-comparisons	tag	paired-comparisons
paired-data	tag	paired-data
pandas	tag	pandas
panel-data	tag	panel-data
paradox	tag	paradox
parallel-computing	tag	parallel-computing
parameterization	tag	parameterization
parametric	tag	parametric
pareto	tag	pareto
pareto-distribution	tag	pareto-distribution
partial-correlation	tag	partial-correlation
partial-least-squares	tag	partial-least-squares
partial-moments	tag	partial-moments
partial-plot	tag	partial-plot
particle-filter	tag	particle-filter
partitioning	tag	partitioning
path-model	tag	path-model
pattern-recognition	tag	pattern-recognition
pca	tag	pca
pcoa	tag	pcoa
pdf	tag	pdf
pearson-r	tag	pearson-r
penalized	tag	penalized
percentage	tag	percentage
perceptron	tag	perceptron
permutation-test	tag	permutation-test
perplexity	tag	perplexity
phd	tag	phd
philosophical	tag	philosophical
pie-chart	tag	pie-chart
plm	tag	plm
point-estimation	tag	point-estimation
point-process	tag	point-process
poisson-binomial	tag	poisson-binomial
poisson-distribution	tag	poisson-distribution
poisson-process	tag	poisson-process
poisson-regression	tag	poisson-regression
politics	tag	politics
polling	tag	polling
polr	tag	polr
polynomial	tag	polynomial
pooling	tag	pooling
population	tag	population
population-attributable-fraction	tag	population-attributable-fraction
post-hoc	tag	post-hoc
posterior	tag	posterior
power	tag	power
power-analysis	tag	power-analysis
power-law	tag	power-law
pre-training	tag	pre-training
precision	tag	precision
precision-recall	tag	precision-recall
prediction	tag	prediction
prediction-interval	tag	prediction-interval
predictive-models	tag	predictive-models
predictor	tag	predictor
presentation	tag	presentation
prior	tag	prior
probabilistic-programming	tag	probabilistic-programming
probability	tag	probability
probability-generating-fn	tag	probability-generating-fn
probability-inequalities	tag	probability-inequalities
probit	tag	probit
procrustes-analysis	tag	procrustes-analysis
profile-likelihood	tag	profile-likelihood
project-management	tag	project-management
projection	tag	projection
proof	tag	proof
propensity-scores	tag	propensity-scores
proportion	tag	proportion
pruning	tag	pruning
psychology	tag	psychology
psychometrics	tag	psychometrics
publication-bias	tag	publication-bias
puzzle	tag	puzzle
pymc	tag	pymc
python	tag	python
q-learning	tag	q-learning
qq-plot	tag	qq-plot
quality-control	tag	quality-control
quantile-regression	tag	quantile-regression
quantiles	tag	quantiles
quasi-likelihood	tag	quasi-likelihood
quasi-maximum-likelihood	tag	quasi-maximum-likelihood
quasi-monte-carlo	tag	quasi-monte-carlo
queueing	tag	queueing
quotation	tag	quotation
r	tag	r
r-squared	tag	r-squared
random	tag	random
random-allocation	tag	random-allocation
random-effects-model	tag	random-effects-model
random-forest	tag	random-forest
random-generation	tag	random-generation
random-matrix	tag	random-matrix
random-variable	tag	random-variable
random-walk	tag	random-walk
randomness	tag	randomness
ranking	tag	ranking
ranks	tag	ranks
rare-events	tag	rare-events
rating	tag	rating
ratio	tag	ratio
rbm	tag	rbm
real-time	tag	real-time
recommender-system	tag	recommender-system
recurrent-events	tag	recurrent-events
reduced-rank-regression	tag	reduced-rank-regression
referee	tag	referee
references	tag	references
regression	tag	regression
regression-coefficients	tag	regression-coefficients
regression-strategies	tag	regression-strategies
regression-to-the-mean	tag	regression-to-the-mean
regularization	tag	regularization
reinforcement-learning	tag	reinforcement-learning
relative-distribution	tag	relative-distribution
relative-risk	tag	relative-risk
reliability	tag	reliability
reml	tag	reml
repeatability	tag	repeatability
repeated-measures	tag	repeated-measures
replicability	tag	replicability
reporting	tag	reporting
reproducible-research	tag	reproducible-research
resampling	tag	resampling
residuals	tag	residuals
ridge-regression	tag	ridge-regression
risk	tag	risk
rlm	tag	rlm
rms	tag	rms
rnn	tag	rnn
robust	tag	robust
robust-standard-error	tag	robust-standard-error
roc	tag	roc
ronald-fisher	tag	ronald-fisher
rpart	tag	rpart
rule-of-thumb	tag	rule-of-thumb
saddlepoint-approximation	tag	saddlepoint-approximation
sample	tag	sample
sample-size	tag	sample-size
sampling	tag	sampling
sankey-diagram	tag	sankey-diagram
sas	tag	sas
scalability	tag	scalability
scale-construction	tag	scale-construction
scales	tag	scales
scatterplot	tag	scatterplot
schoenfeld-residuals	tag	schoenfeld-residuals
scikit-learn	tag	scikit-learn
scipy	tag	scipy
scoring-rules	tag	scoring-rules
seasonality	tag	seasonality
selectiveinference	tag	selectiveinference
self-organizing-maps	tag	self-organizing-maps
self-study	tag	self-study
sem	tag	sem
semi-supervised	tag	semi-supervised
semiparametric	tag	semiparametric
sensitivity-analysis	tag	sensitivity-analysis
sensitivity-specificity	tag	sensitivity-specificity
sentiment-analysis	tag	sentiment-analysis
separation	tag	separation
sequence-analysis	tag	sequence-analysis
sequential-analysis	tag	sequential-analysis
sgd	tag	sgd
shape	tag	shape
shapley-value	tag	shapley-value
shrinkage	tag	shrinkage
sigma-algebra	tag	sigma-algebra
sigmoid-curve	tag	sigmoid-curve
signal-detection	tag	signal-detection
signal-processing	tag	signal-processing
similarities	tag	similarities
simpsons-paradox	tag	simpsons-paradox
simulation	tag	simulation
singular	tag	singular
skellam	tag	skellam
skewness	tag	skewness
small-area-estimation	tag	small-area-estimation
small-sample	tag	small-sample
smoothing	tag	smoothing
social-network	tag	social-network
softmax	tag	softmax
software	tag	software
sparse	tag	sparse
spatial	tag	spatial
spatio-temporal	tag	spatio-temporal
spearman-rho	tag	spearman-rho
spectral-analysis	tag	spectral-analysis
sphericity	tag	sphericity
splines	tag	splines
spss	tag	spss
spurious-correlation	tag	spurious-correlation
sql	tag	sql
stacking	tag	stacking
stan	tag	stan
standard-deviation	tag	standard-deviation
standard-error	tag	standard-error
standardization	tag	standardization
starting-values	tag	starting-values
stata	tag	stata
state-space-models	tag	state-space-models
stationarity	tag	stationarity
statistical-learning	tag	statistical-learning
statistical-significance	tag	statistical-significance
statistics-in-media	tag	statistics-in-media
statsmodels	tag	statsmodels
steins-phenomenon	tag	steins-phenomenon
stepwise-regression	tag	stepwise-regression
stochastic-processes	tag	stochastic-processes
stratification	tag	stratification
structural-change	tag	structural-change
sufficient-statistics	tag	sufficient-statistics
summations	tag	summations
sums-of-squares	tag	sums-of-squares
supervised-learning	tag	supervised-learning
suppressor	tag	suppressor
survey	tag	survey
survival	tag	survival
svd	tag	svd
svm	tag	svm
symmetry	tag	symmetry
synthetic-data	tag	synthetic-data
t-distribution	tag	t-distribution
t-test	tag	t-test
tables	tag	tables
targeted-maximum-likelihood	tag	targeted-maximum-likelihood
taylor-series	tag	taylor-series
tbats	tag	tbats
teaching	tag	teaching
tensor	tag	tensor
tensorflow	tag	tensorflow
terminology	tag	terminology
text-mining	tag	text-mining
theano	tag	theano
theory	tag	theory
threshold	tag	threshold
ties	tag	ties
tikhonov-regularization	tag	tikhonov-regularization
time-complexity	tag	time-complexity
time-series	tag	time-series
tobit-regression	tag	tobit-regression
tolerance-interval	tag	tolerance-interval
topic-models	tag	topic-models
topologies	tag	topologies
tost	tag	tost
total-least-squares	tag	total-least-squares
train	tag	train
training-error	tag	training-error
transfer-learning	tag	transfer-learning
transform	tag	transform
transportation	tag	transportation
treatment-effect	tag	treatment-effect
trend	tag	trend
trimmed-mean	tag	trimmed-mean
truncation	tag	truncation
tsne	tag	tsne
tukey-hsd	tag	tukey-hsd
tweedie-distribution	tag	tweedie-distribution
two-sample	tag	two-sample
type-i-and-ii-errors	tag	type-i-and-ii-errors
types-of-averages	tag	types-of-averages
umvue	tag	umvue
unbalanced-classes	tag	unbalanced-classes
unbiased-estimator	tag	unbiased-estimator
uncertainty	tag	uncertainty
underdetermined	tag	underdetermined
underdispersion	tag	underdispersion
unevenly-spaced-time-series	tag	unevenly-spaced-time-series
uniform	tag	uniform
uninformative-prior	tag	uninformative-prior
unit-root	tag	unit-root
units	tag	units
unsupervised-learning	tag	unsupervised-learning
validation	tag	validation
validity	tag	validity
valuation	tag	valuation
var	tag	var
variability	tag	variability
variance	tag	variance
variance-decomposition	tag	variance-decomposition
variance-stabilizing	tag	variance-stabilizing
variational-bayes	tag	variational-bayes
vc-dimension	tag	vc-dimension
vecm	tag	vecm
vif	tag	vif
viterbi-algorithm	tag	viterbi-algorithm
von-mises-distribution	tag	von-mises-distribution
voting-system	tag	voting-system
vowpal-wabbit	tag	vowpal-wabbit
ward	tag	ward
wasserstein	tag	wasserstein
wavelet	tag	wavelet
web	tag	web
weibull	tag	weibull
weighted-data	tag	weighted-data
weighted-mean	tag	weighted-mean
weighted-regression	tag	weighted-regression
weighted-sampling	tag	weighted-sampling
weights	tag	weights
weka	tag	weka
white-noise	tag	white-noise
whitening	tag	whitening
wilcoxon-mann-whitney	tag	wilcoxon-mann-whitney
wilcoxon-signed-rank	tag	wilcoxon-signed-rank
winbugs	tag	winbugs
winsorizing	tag	winsorizing
wishart	tag	wishart
word-embeddings	tag	word-embeddings
word2vec	tag	word2vec
xgboost	tag	xgboost
yolo	tag	yolo
z-score	tag	z-score
z-statistic	tag	z-statistic
z-test	tag	z-test
zero-inflation	tag	zero-inflation
zipf	tag	zipf
Making sense of principal component analysis, eigenvectors &amp; eigenvalues	question	pca,intuition,eigenvalues,canonical-question
How to choose the number of hidden layers and nodes in a feedforward neural network?	question	model-selection,neural-networks
What is the difference between &quot;likelihood&quot; and &quot;probability&quot;?	question	probability,likelihood,intuition
What is the intuition behind beta distribution?	question	distributions,beta-distribution,intuition,beta-binomial
What is the difference between test set and validation set?	question	machine-learning,validation
Why square the difference instead of taking the absolute value in standard deviation?	question	standard-deviation,definition,absolute-value
The Two Cultures: statistics vs. machine learning?	question	machine-learning,pac-learning
Relationship between SVD and PCA. How to use SVD to perform PCA?	question	pca,dimensionality-reduction,matrix,svd
How to understand the drawbacks of K-means	question	machine-learning,clustering,data-mining,k-means
Bayesian and frequentist reasoning in plain English	question	bayesian,frequentist
Python as a statistics workbench	question	r,spss,stata,python
What is your favorite &quot;data analysis&quot; cartoon?	question	humor
Explaining to laypeople why bootstrapping works 	question	bootstrap,communication
Difference between logit and probit models	question	r,generalized-linear-model,logistic,probit,link-function
Is normality testing &#39;essentially useless&#39;?	question	hypothesis-testing,normality-assumption,philosophical
When conducting multiple regression, when should you center your predictor variables &amp; when should you standardize them?	question	multiple-regression,standardization,centering
What happens if the explanatory and response variables are sorted independently before regression?	question	regression,correlation
What is the difference between fixed effect, random effect and mixed effect models?	question	mixed-model,random-effects-model,definition,fixed-effects-model
How to normalize data to 0-1 range?	question	normalization
How to understand degrees of freedom?	question	interpretation,degrees-of-freedom,intuition
Why is Euclidean distance not a good metric in high dimensions?	question	machine-learning,clustering,distance-functions,metric,high-dimensional
Tradeoff batch size vs. number of iterations to train a neural network	question	neural-networks,train
What is the meaning of p values and t values in statistical tests?	question	hypothesis-testing,p-value,interpretation,intuition,canonical-question
Famous statistical quotations	question	references,history
What&#39;s the difference between a confidence interval and a credible interval?	question	bayesian,confidence-interval,frequentist,credible-interval,fiducial
Interpretation of R&#39;s lm() output	question	r,regression,interpretation
